sample_row_id,sample_date,sample_time,sample_datetime,raw_sampling_site,site_name,major_category,sample_location,chlorophyll_ugl_replicate_1,chlorophyll_ugl_replicate_2,chlorophyll_ugl_replicate_3,chlorophyll_ugl_mean,chlorophyll_ugl_std,chlorophyll_ugl_min,chlorophyll_ugl_max,chlorophyll_ugl_replicate_count,phycocyanin_ugl_replicate_1,phycocyanin_ugl_replicate_2,phycocyanin_ugl_replicate_3,phycocyanin_ugl_mean,phycocyanin_ugl_std,phycocyanin_ugl_min,phycocyanin_ugl_max,phycocyanin_ugl_replicate_count,phycocyanin_to_chlorophyll_ratio_replicate_1,phycocyanin_to_chlorophyll_ratio_replicate_2,phycocyanin_to_chlorophyll_ratio_replicate_3,phycocyanin_to_chlorophyll_ratio_mean,phycocyanin_to_chlorophyll_ratio_std,phycocyanin_to_chlorophyll_ratio_min,phycocyanin_to_chlorophyll_ratio_max,phycocyanin_to_chlorophyll_ratio_replicate_count,sample_depth_feet,water_temperature_c,ph,orp_mv,specific_conductivity_us_cm,dissolved_oxygen_mg_l,turbidity_ntu,x_coordinate,y_coordinate
sample_0001,2021-05-18,16:00,2021-05-18T16:00,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.46,0.41,0.56,0.476667,0.076376,0.41,0.56,3,8.56,9.18,10.2,9.313333,0.82809,8.56,10.2,3,18.6,22.39,18.21,19.733333,2.30899,18.21,22.39,3,1,,,,,,,-71.415733,41.784642
sample_0002,2021-05-18,16:00,2021-05-18T16:00,Pleasure_Lake,Pleasure Lake,Category_1,shore,1.37,1.23,1.27,1.29,0.072111,1.23,1.37,3,6.52,6.72,9.38,7.54,1.596621,6.52,9.38,3,4.75,5.46,7.38,5.863333,1.3606,4.75,7.38,3,0.5,,,,,,,-71.407446,41.785381
sample_0003,2021-05-18,16:15,2021-05-18T16:15,Cunliff_Lake,Cunliff Lake,Category_1,shore,3.12,3.05,2.58,2.916667,0.293655,2.58,3.12,3,13.49,12.05,11.23,12.256667,1.144086,11.23,13.49,3,4.32,3.95,4.35,4.206667,0.222785,3.95,4.35,3,0.5,,,,,,,-71.414163,41.777333
sample_0004,2021-06-01,16:05,2021-06-01T16:05,Pleasure_Lake,Pleasure Lake,Category_1,shore,12.11,,,12.11,0,12.11,12.11,1,30.95,,,30.95,0,30.95,30.95,1,2.55,,,2.55,0,2.55,2.55,1,0.5,,,,,,,-71.407493,41.785421
sample_0005,2021-06-01,16:05,2021-06-01T16:05,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.61,,,1.61,0,1.61,1.61,1,26.02,,,26.02,0,26.02,26.02,1,16.16,,,16.16,0,16.16,16.16,1,0.5,,,,,,,-71.414141,41.777319
sample_0006,2021-06-01,16:05,2021-06-01T16:05,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.33,,,0.33,0,0.33,0.33,1,7.13,,,7.13,0,7.13,7.13,1,21.6,,,21.6,0,21.6,21.6,1,1,,,,,,,-71.415604,41.78471
sample_0007,2021-06-15,16:00,2021-06-15T16:00,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.9,1.84,,1.87,0.042426,1.84,1.9,2,22.12,23.35,,22.735,0.869741,22.12,23.35,2,11.12,12.69,,11.905,1.110158,11.12,12.69,2,1,,,,,,,-71.414064,41.777289
sample_0008,2021-06-15,16:00,2021-06-15T16:00,Pleasure_Lake,Pleasure Lake,Category_1,shore,3.84,,,3.84,0,3.84,3.84,1,30.75,,,30.75,0,30.75,30.75,1,8,,,8,0,8,8,1,1,,,,,,,-71.40747,41.785432
sample_0009,2021-07-13,17:00,2021-07-13T17:00,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.63,0.59,0.64,0.62,0.026458,0.59,0.64,3,5.9,8.19,10.61,8.233333,2.355299,5.9,10.61,3,9.36,13.81,16.57,13.246667,3.637861,9.36,16.57,3,0.5,,,,,,,-71.415511,41.78457
sample_0010,2021-07-13,16:45,2021-07-13T16:45,Polo_Lake,Polo Lake,Category_1,shore,3.18,3,,3.09,0.127279,3,3.18,2,43.08,34.45,,38.765,6.102332,34.45,43.08,2,13.54,11.48,,12.51,1.45664,11.48,13.54,2,1,,,,,,,-71.415127,41.786256
sample_0011,2021-07-13,17:14,2021-07-13T17:14,Cunliff_Lake,Cunliff Lake,Category_1,shore,3.18,3.28,3.04,3.166667,0.120554,3.04,3.28,3,29.52,32.8,30.34,30.886667,1.706966,29.52,32.8,3,9.28,10,9.98,9.753333,0.410041,9.28,10,3,0.5,,,,,,,-71.414181,41.777159
sample_0012,2021-07-13,16:45,2021-07-13T16:45,Pleasure_Lake,Pleasure Lake,Category_1,shore,1.81,1.66,1.88,1.783333,0.112398,1.66,1.88,3,20.06,18.21,14.31,17.526667,2.935274,14.31,20.06,3,11.08,10.96,7.61,9.883333,1.969678,7.61,11.08,3,0.5,,,,,,,-71.406968,41.784992
sample_0013,2021-07-27,16:17,2021-07-27T16:17,Pleasure_Lake,Pleasure Lake,Category_1,shore,1.39,,,1.39,0,1.39,1.39,1,17.39,,,17.39,0,17.39,17.39,1,12.51,,,12.51,0,12.51,12.51,1,0.5,,,,,,,-71.407414,41.78539
sample_0014,2021-07-27,17:07,2021-07-27T17:07,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.3,,,1.3,0,1.3,1.3,1,18.01,,,18.01,0,18.01,18.01,1,13.85,,,13.85,0,13.85,13.85,1,0.5,,,,,,,-71.41421,41.777252
sample_0015,2021-07-27,17:17,2021-07-27T17:17,Polo_Lake,Polo Lake,Category_1,shore,1.46,,,1.46,0,1.46,1.46,1,10.61,,,10.61,0,10.61,10.61,1,7.26,,,7.26,0,7.26,7.26,1,0.5,,,,,,,-71.41476,41.786206
sample_0016,2021-07-27,17:31,2021-07-27T17:31,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.83,,,0.83,0,0.83,0.83,1,5.09,,,5.09,0,5.09,5.09,1,6.13,,,6.13,0,6.13,6.13,1,0.5,,,,,,,-71.415647,41.784581
sample_0017,2021-08-10,16:33,2021-08-10T16:33,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,1.53,,,1.53,0,1.53,1.53,1,4.88,,,4.88,0,4.88,4.88,1,3.18,,,3.18,0,3.18,3.18,1,0.5,,,,,,,-71.4156,41.784661
sample_0018,2021-08-10,17:16,2021-08-10T17:16,Pleasure_Lake,Pleasure Lake,Category_1,shore,2.3,,,2.3,0,2.3,2.3,1,24.7,,,24.7,0,24.7,24.7,1,10.77,,,10.77,0,10.77,10.77,1,0.5,,,,,,,-71.407572,41.785598
sample_0019,2021-08-10,17:23,2021-08-10T17:23,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.17,,,2.17,0,2.17,2.17,1,29.1,,,29.1,0,29.1,29.1,1,13.41,,,13.41,0,13.41,13.41,1,0.5,,,,,,,-71.41422,41.777109
sample_0020,2021-08-24,17:01,2021-08-24T17:01,Pleasure_Lake,Pleasure Lake,Category_1,shore,2.14,,,2.14,0,2.14,2.14,1,10.2,,,10.2,0,10.2,10.2,1,4.76,,,4.76,0,4.76,4.76,1,0.5,,,,,,,-71.407451,41.785356
