sample_row_id,sample_date,sample_datetime,site_name,major_category,sample_location,comments_notes,was_doh_toxin_sample_collected,currently_under_advisory,are_advisory_signs_posted,monitoring_weather_text,bloom_sections,people_using_lake_recreationally,evidence_of_dead_fish_animals,bloom_near_boat_ramp,bloom_extent,inaturalist_link
sample_0001,2021-05-18,2021-05-18T16:00,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0002,2021-05-18,2021-05-18T16:00,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0003,2021-05-18,2021-05-18T16:15,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0004,2021-06-01,2021-06-01T16:05,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0005,2021-06-01,2021-06-01T16:05,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0006,2021-06-01,2021-06-01T16:05,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0007,2021-06-15,2021-06-15T16:00,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0008,2021-06-15,2021-06-15T16:00,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0009,2021-07-13,2021-07-13T17:00,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0010,2021-07-13,2021-07-13T16:45,Polo Lake,Category_1,shore,,,,,,,,,,,
sample_0011,2021-07-13,2021-07-13T17:14,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0012,2021-07-13,2021-07-13T16:45,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0013,2021-07-27,2021-07-27T16:17,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0014,2021-07-27,2021-07-27T17:07,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0015,2021-07-27,2021-07-27T17:17,Polo Lake,Category_1,shore,,,,,,,,,,,
sample_0016,2021-07-27,2021-07-27T17:31,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0017,2021-08-10,2021-08-10T16:33,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0018,2021-08-10,2021-08-10T17:16,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0019,2021-08-10,2021-08-10T17:23,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0020,2021-08-24,2021-08-24T17:01,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0021,2021-08-24,2021-08-24T16:50,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0022,2021-08-24,2021-08-24T17:21,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0023,2021-09-07,2021-09-07T16:45,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0024,2021-09-07,2021-09-07T17:00,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0025,2021-09-07,2021-09-07T17:15,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0026,2021-09-21,2021-09-21T17:01,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0027,2021-09-21,2021-09-21T17:25,Elm Lake,Category_1,shore,Bloom looked like paint streaks in Elm_Lake to the right of sample location at outflow,,,,,,,,,,
sample_0028,2021-09-21,2021-09-21T17:15,Pleasure Lake,Category_1,shore,No bloom observed,,,,,,,,,,
sample_0029,2021-09-21,2021-09-21T17:20,Cunliff Lake,Category_1,shore,Difficult to see bloom from first few pictures,,,,,,,,,,
sample_0030,2021-10-05,2021-10-05T16:22,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0031,2021-10-05,2021-10-05T17:00,Pleasure Lake,Category_1,shore,Potential pollen on water surface,,,,,,,,,,
sample_0032,2021-10-05,2021-10-05T16:35,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0033,2021-10-19,2021-10-19T16:45,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0034,2021-10-19,2021-10-19T17:15,Cunliff Lake,Category_1,shore,Close-up photo is of a concentrated sample.,,,,,,,,,,
sample_0035,2021-10-19,2021-10-19T17:00,Pleasure Lake,Category_1,shore,The close-up photo is a concentrated sample.,,,,,,,,,,
sample_0036,2021-11-02,2021-11-02T16:47,Pleasure Lake,Category_1,shore,,,,,,,,,,,
sample_0037,2021-11-02,2021-11-02T17:45,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0038,2021-11-02,2021-11-02T18:00,Roosevelt Lake,Category_1,shore,,,,,,,,,,,
sample_0039,2022-05-03,2022-05-03T17:30,Cunliff Lake,Category_1,shore,,,,,,,,,,,
sample_0040,2022-05-03,2022-05-03T17:37,Elm Lake,Category_1,shore,,,,,,,,,,,
sample_0041,2022-05-03,2022-05-03T17:45,Polo Lake,Category_1,shore,,,,,,,,,,,
sample_0042,2022-05-17,2022-05-17T17:20,Polo Lake,Category_1,shore,No blooms present.,,,,,,,,,,
