site_name,major_category,date,sample_location,sample_count,earliest_sample_time,latest_sample_time,chlorophyll_ugl_mean,chlorophyll_ugl_std,chlorophyll_ugl_min,chlorophyll_ugl_max,chlorophyll_ugl_replicate_count,phycocyanin_ugl_mean,phycocyanin_ugl_std,phycocyanin_ugl_min,phycocyanin_ugl_max,phycocyanin_ugl_replicate_count,phycocyanin_to_chlorophyll_ratio_mean,phycocyanin_to_chlorophyll_ratio_std,phycocyanin_to_chlorophyll_ratio_min,phycocyanin_to_chlorophyll_ratio_max,phycocyanin_to_chlorophyll_ratio_replicate_count,sample_depth_feet,water_temperature_c,ph,orp_mv,specific_conductivity_us_cm,dissolved_oxygen_mg_l,turbidity_ntu,x_coordinate,y_coordinate
Cunliff Lake,Category_1,2021-05-18,shore,1,16:15,16:15,2.916667,0.293655,2.58,3.12,3,12.256667,1.144086,11.23,13.49,3,4.206667,0.222785,3.95,4.35,3,0.5,,,,,,,-71.414163,41.777333
Cunliff Lake,Category_1,2021-06-01,shore,1,16:05,16:05,1.61,0,1.61,1.61,1,26.02,0,26.02,26.02,1,16.16,0,16.16,16.16,1,0.5,,,,,,,-71.414141,41.777319
Cunliff Lake,Category_1,2021-06-15,shore,1,16:00,16:00,1.87,0.042426,1.84,1.9,2,22.735,0.869741,22.12,23.35,2,11.905,1.110158,11.12,12.69,2,1,,,,,,,-71.414064,41.777289
Cunliff Lake,Category_1,2021-07-13,shore,1,17:14,17:14,3.166667,0.120554,3.04,3.28,3,30.886667,1.706966,29.52,32.8,3,9.753333,0.410041,9.28,10,3,0.5,,,,,,,-71.414181,41.777159
Cunliff Lake,Category_1,2021-07-27,shore,1,17:07,17:07,1.3,0,1.3,1.3,1,18.01,0,18.01,18.01,1,13.85,0,13.85,13.85,1,0.5,,,,,,,-71.41421,41.777252
Cunliff Lake,Category_1,2021-08-10,shore,1,17:23,17:23,2.17,0,2.17,2.17,1,29.1,0,29.1,29.1,1,13.41,0,13.41,13.41,1,0.5,,,,,,,-71.41422,41.777109
Cunliff Lake,Category_1,2021-08-24,shore,1,16:50,16:50,1.67,0,1.67,1.67,1,42.05,0,42.05,42.05,1,22.48,0,22.48,22.48,1,0.5,,,,,,,-71.414277,41.777217
Cunliff Lake,Category_1,2021-09-07,shore,1,17:15,17:15,1.656667,0.125831,1.54,1.79,3,36.983333,3.497003,33.42,40.41,3,22.3,0.520481,21.7,22.63,3,0.5,,,,,,,-71.413886,41.777128
Cunliff Lake,Category_1,2021-09-21,shore,1,17:20,17:20,1.98,0.339559,1.59,2.21,3,72.05,11.852557,58.9,81.91,3,36.433333,1.068145,35.2,37.06,3,0.5,,,,,,,-71.414024,41.777083
Cunliff Lake,Category_1,2021-10-05,shore,1,16:35,16:35,3.663333,0.441059,3.29,4.15,3,194.4,44.161377,161.04,244.48,3,52.633333,5.464013,48.94,58.91,3,0.5,,,,,,,-71.414275,41.777304
