task_name,target_label,site_name,major_category,date,onset_label,termination_label,advisory_active,advisory_event_id,advisory_event_censored,advisory_event_termination_observed,t2m,t2m_min,t2m_max,t2mdew,uv_index,cloud,precip,t2m_rolling_mean_3d,t2m_rolling_mean_7d,t2m_rolling_mean_14d,t2m_rolling_mean_21d,t2m_rolling_mean_30d,t2m_min_rolling_mean_3d,t2m_min_rolling_mean_7d,t2m_min_rolling_mean_14d,t2m_min_rolling_mean_21d,t2m_min_rolling_mean_30d,t2m_max_rolling_mean_3d,t2m_max_rolling_mean_7d,t2m_max_rolling_mean_14d,t2m_max_rolling_mean_21d,t2m_max_rolling_mean_30d,t2mdew_rolling_mean_3d,t2mdew_rolling_mean_7d,t2mdew_rolling_mean_14d,t2mdew_rolling_mean_21d,t2mdew_rolling_mean_30d,uv_index_rolling_mean_3d,uv_index_rolling_mean_7d,uv_index_rolling_mean_14d,uv_index_rolling_mean_21d,uv_index_rolling_mean_30d,cloud_rolling_mean_3d,cloud_rolling_mean_7d,cloud_rolling_mean_14d,cloud_rolling_mean_21d,cloud_rolling_mean_30d,precip_rolling_sum_3d,precip_rolling_sum_7d,precip_rolling_sum_14d,precip_rolling_sum_21d,precip_rolling_sum_30d,dry_day_count_7d,dry_day_count_14d,dry_day_count_30d,year,month,day_of_year,warm_season_flag,day_of_year_sin,day_of_year_cos,has_sample,has_shore_sample,has_center_sample,available_locations,center_chlorophyll_ugl_max,center_chlorophyll_ugl_mean,center_chlorophyll_ugl_min,center_chlorophyll_ugl_replicate_count,center_chlorophyll_ugl_std,center_dissolved_oxygen_mg_l,center_earliest_sample_time,center_latest_sample_time,center_orp_mv,center_ph,center_phycocyanin_to_chlorophyll_ratio_max,center_phycocyanin_to_chlorophyll_ratio_mean,center_phycocyanin_to_chlorophyll_ratio_min,center_phycocyanin_to_chlorophyll_ratio_replicate_count,center_phycocyanin_to_chlorophyll_ratio_std,center_phycocyanin_ugl_max,center_phycocyanin_ugl_mean,center_phycocyanin_ugl_min,center_phycocyanin_ugl_replicate_count,center_phycocyanin_ugl_std,center_sample_count,center_sample_depth_feet,center_specific_conductivity_us_cm,center_turbidity_ntu,center_water_temperature_c,center_x_coordinate,center_y_coordinate,overall_chlorophyll_ugl_max,overall_chlorophyll_ugl_mean,overall_chlorophyll_ugl_min,overall_chlorophyll_ugl_replicate_count,overall_chlorophyll_ugl_std,overall_dissolved_oxygen_mg_l,overall_earliest_sample_time,overall_latest_sample_time,overall_orp_mv,overall_ph,overall_phycocyanin_to_chlorophyll_ratio_max,overall_phycocyanin_to_chlorophyll_ratio_mean,overall_phycocyanin_to_chlorophyll_ratio_min,overall_phycocyanin_to_chlorophyll_ratio_replicate_count,overall_phycocyanin_to_chlorophyll_ratio_std,overall_phycocyanin_ugl_max,overall_phycocyanin_ugl_mean,overall_phycocyanin_ugl_min,overall_phycocyanin_ugl_replicate_count,overall_phycocyanin_ugl_std,overall_sample_count,overall_sample_depth_feet,overall_specific_conductivity_us_cm,overall_turbidity_ntu,overall_water_temperature_c,overall_x_coordinate,overall_y_coordinate,shore_chlorophyll_ugl_max,shore_chlorophyll_ugl_mean,shore_chlorophyll_ugl_min,shore_chlorophyll_ugl_replicate_count,shore_chlorophyll_ugl_std,shore_dissolved_oxygen_mg_l,shore_earliest_sample_time,shore_latest_sample_time,shore_orp_mv,shore_ph,shore_phycocyanin_to_chlorophyll_ratio_max,shore_phycocyanin_to_chlorophyll_ratio_mean,shore_phycocyanin_to_chlorophyll_ratio_min,shore_phycocyanin_to_chlorophyll_ratio_replicate_count,shore_phycocyanin_to_chlorophyll_ratio_std,shore_phycocyanin_ugl_max,shore_phycocyanin_ugl_mean,shore_phycocyanin_ugl_min,shore_phycocyanin_ugl_replicate_count,shore_phycocyanin_ugl_std,shore_sample_count,shore_sample_depth_feet,shore_specific_conductivity_us_cm,shore_turbidity_ntu,shore_water_temperature_c,shore_x_coordinate,shore_y_coordinate,days_since_last_sample,latest_overall_chlorophyll_ugl_mean,latest_overall_phycocyanin_ugl_mean,latest_overall_phycocyanin_to_chlorophyll_ratio_mean,latest_overall_sample_depth_feet,latest_overall_water_temperature_c,latest_overall_ph,latest_overall_orp_mv,latest_overall_specific_conductivity_us_cm,latest_overall_dissolved_oxygen_mg_l,latest_overall_turbidity_ntu,delta_7d_overall_chlorophyll_ugl_mean,delta_14d_overall_chlorophyll_ugl_mean,delta_7d_overall_phycocyanin_ugl_mean,delta_14d_overall_phycocyanin_ugl_mean,delta_7d_overall_phycocyanin_to_chlorophyll_ratio_mean,delta_14d_overall_phycocyanin_to_chlorophyll_ratio_mean,delta_7d_overall_sample_depth_feet,delta_14d_overall_sample_depth_feet,delta_7d_overall_water_temperature_c,delta_14d_overall_water_temperature_c,delta_7d_overall_ph,delta_14d_overall_ph,delta_7d_overall_orp_mv,delta_14d_overall_orp_mv,delta_7d_overall_specific_conductivity_us_cm,delta_14d_overall_specific_conductivity_us_cm,delta_7d_overall_dissolved_oxygen_mg_l,delta_14d_overall_dissolved_oxygen_mg_l,delta_7d_overall_turbidity_ntu,delta_14d_overall_turbidity_ntu,onset_eligible,termination_eligible
termination,0,Polo Lake,Category_1,2020-10-09,1,0,1,polo_lake_event_01,0,1,13.095,9.935,17,5.975,0.88,9.265,0,15.338333,15.56,17.448571,17.04881,17.5665,12.67,13.685714,15.715714,15.391905,15.832,18.166667,18.021429,19.271429,18.955952,19.573167,9.091667,10.170714,13.668571,12.543095,13.229167,0.848333,0.859286,0.879643,0.938095,0.977333,20.563333,34.432857,48.919643,48.20881,51.920167,1.33,4.84,22.005,22.075,28.87,2,2,11,2020,10,283,1,-0.987873,0.155266,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
termination,0,Polo Lake,Category_1,2020-10-10,0,0,1,polo_lake_event_01,0,1,18.095,16.79,19.74,14.97,0.8,36.005,0.02,15.375,15.849286,17.395357,17.218571,17.4125,12.908333,14.036429,15.703214,15.550714,15.696,18.05,18.265,19.252857,19.088095,19.4545,9.281667,10.963571,13.535,12.951429,13.024667,0.855,0.835,0.865357,0.91381,0.972,16.243333,36.616429,47.839286,49.125,49.812333,0.02,4.85,21.86,22.095,25.55,2,2,11,2020,10,284,1,-0.985056,0.172236,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-11,0,0,1,polo_lake_event_01,0,1,15.285,12.52,18.245,9.83,0.79,75.22,0.01,15.491667,15.775,17.050714,17.272381,17.293167,13.081667,13.801429,15.315714,15.503333,15.570667,18.328333,18.331429,19.0625,19.200714,19.325833,10.258333,10.883571,12.920714,13.086429,12.828,0.823333,0.82,0.855357,0.89881,0.961667,40.163333,41.022143,48.844643,49.87619,49.689167,0.03,4.47,21.115,22.105,23.92,2,2,11,2020,10,285,1,-0.981947,0.189155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-12,0,0,1,polo_lake_event_01,0,1,13.19,11.87,14.585,8.57,0.445,99.63,6.07,15.523333,15.510714,16.537857,17.210476,17.159667,13.726667,13.440714,14.776786,15.401667,15.417,17.523333,17.980714,18.601429,19.125714,19.161333,11.123333,10.455,12.161429,13.149286,12.735833,0.678333,0.78,0.830714,0.868333,0.924833,70.285,44.021429,49.459643,53.923571,52.165833,6.1,7.48,25.42,28.175,29.99,2,2,10,2020,10,286,1,-0.978548,0.206018,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-13,0,0,1,polo_lake_event_01,0,1,15.995,13.845,18.175,14.98,0.34,97.08,48.67,14.823333,15.511429,16.222143,17.23119,17.0615,12.745,13.290714,14.376786,15.408333,15.302,17.001667,17.892143,18.377857,19.128571,19.0365,11.126667,10.803571,11.848214,13.492619,12.705333,0.525,0.702857,0.788571,0.845476,0.887333,90.643333,52.803571,50.545714,54.029762,54.597833,54.75,56.1,70.57,76.845,78.645,2,2,10,2020,10,287,1,-0.97486,0.22282,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-14,0,0,1,polo_lake_event_01,0,1,15.23,13.215,18.365,11.38,0.89,8.225,0.075,14.805,15.117857,15.906429,17.105,16.888,12.976667,12.882143,14.059286,15.325238,15.1975,17.041667,17.645714,18.142143,19.003333,18.9045,11.643333,10.372143,11.480714,13.447381,12.563667,0.558333,0.718571,0.786071,0.835476,0.878333,68.311667,46.983571,46.623929,54.024762,52.613833,54.815,54.845,59.89,76.92,78.71,2,2,10,2020,10,288,1,-0.970882,0.239557,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-15,0,0,1,polo_lake_event_01,0,1,16.78,14.715,19.185,14.52,0.805,20.28,0.01,16.001667,15.381429,15.774286,17.02,16.916667,13.925,13.27,13.869286,15.239286,15.202,18.575,17.899286,18.088214,18.95381,18.945833,13.626667,11.460714,11.38,13.435476,12.746833,0.678333,0.707143,0.764286,0.826667,0.869,41.861667,49.386429,46.973929,50.689762,51.936667,48.755,54.855,59.89,76.93,78.72,1,2,9,2020,10,289,1,-0.966618,0.256222,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-16,0,0,1,polo_lake_event_01,0,1,17.315,13.98,19.285,15.835,0.505,78.04,3.535,16.441667,15.984286,15.772143,16.960476,16.895333,13.97,13.847857,13.766786,15.093095,15.1405,18.945,18.225714,18.123571,18.922857,18.886833,13.911667,12.869286,11.52,13.402143,12.832667,0.733333,0.653571,0.756429,0.804286,0.857667,35.515,59.211429,46.822143,52.350238,53.480167,3.62,58.39,63.23,80.395,82.255,0,2,8,2020,10,290,1,-0.962068,0.272811,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-17,0,0,1,polo_lake_event_01,0,1,12.38,7.13,14.67,7.34,0.79,36.8,27.805,15.491667,15.167857,15.508571,16.652857,16.644333,11.941667,12.467857,13.252143,14.624762,14.75,17.713333,17.501429,17.883214,18.669048,18.648167,12.565,11.779286,11.371429,12.949762,12.4995,0.7,0.652143,0.743571,0.794286,0.859,45.04,59.325,47.970714,51.667857,51.772,31.35,86.175,91.025,108.035,110,0,2,8,2020,10,291,1,-0.957232,0.28932,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-18,0,0,1,polo_lake_event_01,0,1,13.065,12.57,14.92,6.31,0.745,31.075,0,14.253333,14.850714,15.312857,16.317381,16.512,11.226667,12.475,13.138214,14.36881,14.662167,16.291667,17.026429,17.678929,18.38381,18.508167,9.828333,11.276429,11.08,12.372619,12.238,0.68,0.645714,0.732857,0.785476,0.860333,48.638333,53.018571,47.020357,50.235952,49.824667,31.34,86.165,90.635,107.28,108.27,1,3,9,2020,10,292,1,-0.952114,0.305743,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
