Date,Time,Date_Time,Sampling _Site,Sample_Location,Chlorophyll_a_ugl_replicate_1,Chlorophyll_a_ugl_replicate_2,Chlorophyll_a_ugl_replicate_3,Phycocyanin_ugl_replicate_1,Phycocyanin_ugl_replicate_2,Phycocyanin_ugl_replicate_3,Phycocyanin_to_chlorphyll_ratio_1,Phycocyanin_to_chlorphyll_ratio_2,Phycocyanin_to_chlorphyll_ratio_3,Sample_depth_feet,Comments_notes,Was_a_DOH_toxin_sample_collected,Currently_under_advisory,Are_advisory_signs_posted,Weather,Which_sections_of_the_pond_have_a_bloom,Are_people_using_the_lake_recreationally,Evidence_of_dead_fish_animals,Is_the_bloom_near_a_boat_ramp,Extent_of_waterbody_covered_by_bloom,Water_temperature_c,pH,ORP_mv,Specific_conductivity_uS-cm,Dissolved_oxygen_mg-l,Turbidity_NTU,iNaturalist_link,x coordinate,y coordinate
5/18/2021,4:00:00 PM,5/18/21 4:00 PM,Roosevelt_Lake,Shore,0.46,0.41,0.56,8.56,9.18,10.20,18.60,22.39,18.21,1.0,,,,,,,,,,,,,,,,,,-71.41573274,41.7846419
5/18/2021,4:00:00 PM,5/18/21 4:00 PM,Pleasure_Lake,Shore,1.37,1.23,1.27,6.52,6.72,9.38,4.75,5.46,7.38,0.5,,,,,,,,,,,,,,,,,,-71.4074459,41.7853815
5/18/2021,4:15:00 PM,5/18/21 4:15 PM,Cunliff_Lake,Shore,3.12,3.05,2.58,13.49,12.05,11.23,4.32,3.95,4.35,0.5,,,,,,,,,,,,,,,,,,-71.41416301,41.77733346
6/1/2021,4:05:00 PM,6/1/21 4:05 PM,Pleasure_Lake,Shore,12.11,,,30.95,,,2.55,,,0.5,,,,,,,,,,,,,,,,,,-71.4074933,41.78542063
6/1/2021,4:05:00 PM,6/1/21 4:05 PM,Cunliff_Lake,Shore,1.61,,,26.02,,,16.16,,,0.5,,,,,,,,,,,,,,,,,,-71.4141409,41.77731861
6/1/2021,4:05:00 PM,6/1/21 4:05 PM,Roosevelt_Lake,Shore,0.33,,,7.13,,,21.60,,,1.0,,,,,,,,,,,,,,,,,,-71.4156035,41.78471019
6/15/2021,4:00:00 PM,6/15/21 4:00 PM,Cunliff_Lake,Shore,1.90,1.84,,22.12,23.35,,11.12,12.69,,1.0,,,,,,,,,,,,,,,,,,-71.41406368,41.77728853
6/15/2021,4:00:00 PM,6/15/21 4:00 PM,Pleasure_Lake,Shore,3.84,,,30.75,,,8.00,,,1.0,,,,,,,,,,,,,,,,,,-71.40747023,41.78543169
7/13/2021,5:00:00 PM,7/13/21 5:00 PM,Roosevelt_Lake,Shore,0.63,0.59,0.64,5.90,8.19,10.61,9.36,13.81,16.57,0.5,,,,,,,,,,,,,,,,,,-71.4155112,41.7845699
7/13/2021,4:45:00 PM,7/13/21 4:45 PM,Polo_Lake,Shore,3.18,3.00,,43.08,34.45,,13.54,11.48,,1.0,,,,,,,,,,,,,,,,,,-71.41512686,41.78625622
7/13/2021,5:14:37 PM,7/13/21 5:14 PM,Cunliff_Lake,Shore,3.18,3.28,3.04,29.52,32.80,30.34,9.28,10.00,9.98,0.5,,,,,,,,,,,,,,,,,,-71.41418139,41.7771589
7/13/2021,4:45:00 PM,7/13/21 4:45 PM,Pleasure_Lake,Shore,1.81,1.66,1.88,20.06,18.21,14.31,11.08,10.96,7.61,0.5,,,,,,,,,,,,,,,,,,-71.40696765,41.78499212
7/27/2021,4:17:00 PM,7/27/21 4:17 PM,Pleasure_Lake,Shore,1.39,,,17.39,,,12.51,,,0.5,,,,,,,,,,,,,,,,,,-71.40741397,41.78538969
7/27/2021,5:07:00 PM,7/27/21 5:07 PM,Cunliff_Lake,Shore,1.30,,,18.01,,,13.85,,,0.5,,,,,,,,,,,,,,,,,,-71.41421047,41.77725208
7/27/2021,5:17:00 PM,7/27/21 5:17 PM,Polo_Lake,Shore,1.46,,,10.61,,,7.26,,,0.5,,,,,,,,,,,,,,,,,,-71.4147604,41.78620644
7/27/2021,5:31:00 PM,7/27/21 5:31 PM,Roosevelt_Lake,Shore,0.83,,,5.09,,,6.13,,,0.5,,,,,,,,,,,,,,,,,,-71.41564694,41.78458096
8/10/2021,4:33:00 PM,8/10/21 4:33 PM,Roosevelt_Lake,Shore,1.53,,,4.88,,,3.18,,,0.5,,,,,,,,,,,,,,,,,,-71.41559997,41.78466101
