DATE,T2M,T2M_MIN,T2M_MAX,T2MDEW,UV_INDEX,CLOUD,PRECIP
1/1/2020,4.025,3.185,5.185,0.205,0.135,55.78,0.075
1/2/2020,4.92,2.92,7.2,1.36,0.17,55.26,0
1/3/2020,7.41,6.825,8.84,6.35,0.09,99.275,1.025
1/4/2020,6.815,5.845,7.39,6.09,0.06,100,4.775
1/5/2020,3.13,1.26,5.79,-0.065,0.19,76.165,2.34
1/6/2020,2.13,0.355,4.575,-1.255,0.08,89.265,0.135
1/7/2020,4.035,2.695,4.875,-1.045,0.15,93.12,2.625
1/8/2020,2.715,-0.465,4.38,-0.15,0.15,74.77,0.985
1/9/2020,-0.83,-2.685,1.15,-5.95,0.16,13.705,0
1/10/2020,6.095,1.565,8.38,3.68,0.11,93.125,0
1/11/2020,9.87,7.91,11.78,9.295,0.19,68.39,0.115
1/12/2020,10.585,5.165,14.415,8.815,0.185,80.575,4.765
1/13/2020,4.97,4.105,6.015,2.935,0.105,99.865,0.135
1/14/2020,4.775,4.24,6.335,2.89,0.16,99.63,0.595
1/15/2020,6.305,5.62,7.54,3.8,0.22,18.555,0.08
1/16/2020,4.49,0.12,7.48,1.93,0.165,68.105,3.415
1/17/2020,-3.8,-5.05,-0.63,-6.365,0.19,34.67,0.01
1/18/2020,-2.01,-4.35,5.13,-4.555,0.15,99.025,6.7
1/19/2020,3.71,-0.93,5.945,1.3,0.24,53.23,1.79
1/20/2020,-1.765,-3.83,-0.22,-5.115,0.185,37.13,0.095
1/21/2020,-1.655,-2.91,-1.015,-5.875,0.225,48.17,0
1/22/2020,0.015,-1.655,2.155,-6.135,0.235,11.33,0
1/23/2020,3.925,2.085,5.34,-0.755,0.26,67.91,0
1/24/2020,4.705,3.5,6.635,2.27,0.26,54.8,0
1/25/2020,6.245,4.63,8.785,5.105,0.175,98.885,16.53
1/26/2020,5.485,4.215,7.545,3.335,0.25,31.78,0.2
1/27/2020,4.53,3.52,5.85,1.78,0.2,87.45,0.08
1/28/2020,3.5,2.405,4.655,0.19,0.195,97.42,0.035
